// CALIBRATION config file
//
// InputRootFile          : ./../GIFAnal/GIFAnalysis/input/002200/Scan002200_HV8_DAQ.root
// MAPConfigFile          : ./../GIFAnal/GIFAnalysis/config/MAP-002141-002266.txt
// Cut_PercentageAfterCut : 50
// Cut_TimeWindow         : 10
// Cut_RMSAfterCut        : 10
//
// TDCchannel'\t'	CalibratedTime
//
0	329.282
1	329.282
2	329.282
3	329.282
4	329.282
5	329.282
6	329.282
7	329.282
8	329.282
9	329.282
10	329.282
11	329.282
12	329.282
13	329.282
14	329.282
15	329.282
16	329.282
17	329.282
18	329.282
19	329.282
20	329.282
21	329.282
22	329.282
23	329.282
24	329.282
25	329.282
26	329.282
27	329.282
28	329.282
29	329.282
30	329.282
31	329.282
1000	329.282
1001	329.282
1002	329.282
1003	329.282
1004	329.282
1005	329.282
1006	329.282
1007	329.282
1008	329.282
1009	329.282
1010	329.282
1011	329.282
1012	329.282
1013	329.282
1014	329.282
1015	329.282
1016	329.282
1017	329.282
1018	329.282
1019	329.282
1020	329.282
1021	329.282
1022	329.282
1023	329.282
1024	329.282
1025	329.282
1026	329.282
1027	329.282
1028	329.282
1029	329.282
1030	329.282
1031	329.282
2000	329.282
2001	330.538
2002	329.282
2003	334.306
2004	329.282
2005	329.282
2006	329.282
2007	329.282
2008	329.159
2009	329.282
2010	329.282
2011	329.282
2012	329.282
2013	331.933
2014	329.282
2015	332.891
2016	322.282
2017	323.951
2018	332.365
2019	324.23
2020	329.282
2021	329.282
2022	331.165
2023	329.282
2024	329.282
2025	329.282
2026	329.282
2027	329.282
2028	329.282
2029	329.282
2030	329.282
2031	329.282
32	331.047
33	331.047
34	331.047
35	331.047
36	322.5
37	331.047
38	331.047
39	331.047
40	331.047
41	331.047
42	331.047
43	331.047
44	331.047
45	331.047
46	331.047
47	331.047
48	331.047
49	331.047
50	331.047
51	331.047
52	331.047
53	331.047
54	331.047
55	331.047
56	331.047
57	322.833
58	331.047
59	331.047
60	331.047
61	331.047
62	331.047
63	331.047
1032	331.047
1033	331.047
1034	331.047
1035	331.047
1036	331.047
1037	331.047
1038	331.047
1039	331.047
1040	331.047
1041	331.047
1042	331.047
1043	331.047
1044	331.047
1045	331.047
1046	331.047
1047	331.047
1048	331.047
1049	331.047
1050	331.047
1051	331.047
1052	331.047
1053	331.047
1054	331.047
1055	331.047
1056	331.047
1057	331.047
1058	331.047
1059	331.047
1060	331.047
1061	331.047
1062	331.047
1063	331.047
2032	326.404
2033	335.33
2034	331.047
2035	331.047
2036	332.181
2037	331.047
2038	335.074
2039	331.047
2040	331.047
2041	331.047
2042	335.203
2043	339.403
2044	339.72
2045	338.368
2046	336.773
2047	337.545
2048	328.953
2049	334.968
2050	329.419
2051	331.047
2052	328.114
2053	331.047
2054	325.281
2055	330.398
2056	329.264
2057	326.78
2058	331.047
2059	331.441
2060	328.861
2061	325.698
2062	329.273
2063	326.388
96	330.717
97	330.717
98	330.717
99	330.717
100	330.717
101	330.717
102	330.717
103	330.717
104	330.717
105	330.717
106	330.717
107	330.717
108	330.717
109	330.717
110	330.717
111	330.717
112	330.717
113	330.717
114	330.717
115	330.717
116	330.717
117	330.717
118	330.717
119	330.717
120	330.717
121	330.717
122	330.717
123	330.717
124	330.717
125	330.717
126	330.717
127	330.717
1096	330.717
1097	330.717
1098	330.717
1099	330.717
1100	330.717
1101	330.717
1102	330.717
1103	330.717
1104	330.717
1105	330.717
1106	330.717
1107	330.717
1108	330.717
1109	330.717
1110	330.717
1111	330.717
1112	330.717
1113	330.717
1114	330.717
1115	330.717
1116	330.717
1117	330.717
1118	330.717
1119	330.717
1120	330.717
1121	330.717
1122	330.717
1123	330.717
1124	330.717
1125	330.717
1126	330.717
1127	330.717
2096	330.717
2097	330.717
2098	330.717
2099	330.717
2100	330.717
2101	330.717
2102	330.717
2103	330.717
2104	330.717
2105	330.717
2106	331.812
2107	331.568
2108	327.989
2109	337.055
2110	328.165
2111	326.283
2112	333.098
2113	332.428
2114	334.59
2115	336.102
2116	330.717
2117	330.717
2118	330.717
2119	330.717
2120	329.253
2121	330.717
2122	330.717
2123	330.717
2124	327.801
2125	330.866
2126	326.367
2127	327.372
64	319.043
65	325.021
66	325.021
67	325.021
68	319.836
69	325.021
70	325.021
71	325.021
72	325.021
73	325.021
74	325.021
75	325.021
76	325.021
77	325.021
78	325.021
79	325.021
80	325.021
81	325.021
82	325.021
83	325.021
84	325.021
85	325.021
86	325.021
87	325.021
88	325.021
89	325.021
90	325.021
91	325.021
92	325.021
93	325.021
94	325.021
95	325.021
1064	325.021
1065	325.021
1066	325.021
1067	325.021
1068	325.021
1069	325.021
1070	325.021
1071	325.021
1072	325.021
1073	325.021
1074	325.021
1075	325.021
1076	325.021
1077	325.021
1078	325.021
1079	325.021
1080	325.021
1081	325.021
1082	325.021
1083	325.021
1084	325.021
1085	325.021
1086	325.021
1087	325.021
1088	325.021
1089	325.021
1090	325.021
1091	325.021
1092	325.021
1093	325.021
1094	325.021
1095	325.021
2064	323.281
2065	324.334
2066	328.805
2067	324.155
2068	325.021
2069	325.021
2070	325.021
2071	325.021
2072	325.021
2073	320.609
2074	325.021
2075	325.021
2076	323.952
2077	324.423
2078	319.844
2079	319.957
2080	332.756
2081	325.021
2082	329.16
2083	330.284
2084	334.877
2085	325.021
2086	325.021
2087	325.021
2088	325.021
2089	325.021
2090	325.021
2091	325.021
2092	325.021
2093	325.021
2094	325.021
2095	325.021
4032	313.333
4033	313.273
4034	313.151
4035	313.151
4036	313.151
4037	313.151
4038	313.151
4039	313.151
4040	313.151
4041	312.735
4042	313.151
4043	313.151
4044	313.151
4045	313.151
4046	313.151
4047	313.151
4048	313.151
4049	313.151
4050	313.151
4051	318.796
4052	313.151
4053	309.624
4054	313.151
4055	313.151
4056	313.151
4057	319.64
4058	313.151
4059	314.437
4060	313.151
4061	313.151
4062	313.151
4063	313.151
4064	313.151
4065	313.151
4066	313.151
4067	313.151
4068	313.151
4069	313.151
4070	313.151
4071	313.151
4072	313.151
4073	313.151
4074	314.063
4075	318.071
4076	307.702
4077	318.658
4078	308.366
4079	315.017
4080	306.875
4081	310.684
4082	313.151
4083	313.151
4084	313.151
4085	313.151
4086	313.151
4087	313.151
4088	313.151
4089	313.151
4090	313.151
4091	313.151
4092	313.151
4093	313.151
4094	313.151
4095	313.151
4096	309.902
4097	313.151
4098	313.151
4099	313.151
4100	313.151
4101	313.151
4102	313.151
4103	313.151
4104	313.151
4105	313.151
4106	313.151
4107	313.151
4108	313.151
4109	313.151
4110	313.151
4111	313.151
4112	313.151
4113	313.151
4114	313.151
4115	313.151
4116	313.151
4117	313.151
4118	313.151
4119	313.151
4120	313.151
4121	313.151
4122	313.151
4123	313.151
4124	313.151
4125	313.151
4126	313.151
4127	312.393
3000	292.118
3001	290.377
3002	292.948
3003	290.999
3004	291.627
3005	290.529
3006	292.747
3007	292.747
3008	297.655
3009	296.055
3010	296.19
3011	294.919
3012	295.66
3013	292.747
3014	292.747
3015	292.747
3016	292.747
3017	292.747
3018	292.747
3019	292.658
3020	292.747
3021	292.747
3022	292.747
3023	292.747
3024	292.747
3025	287.932
3026	296.845
3027	288.476
3028	295.731
3029	294.119
3030	293.605
3031	283.75
3032	283.444
3033	282.829
3034	288.556
3035	289.202
3036	293.052
3037	286.864
3038	293.052
3039	293.052
3040	293.052
3041	293.052
3042	293.052
3043	293.938
3044	293.052
3045	289.794
3046	293.052
3047	293.052
3048	293.052
3049	293.052
3050	293.052
3051	299.074
3052	293.052
3053	293.052
3054	293.052
3055	293.052
3056	293.052
3057	295.094
3058	298.624
3059	294.86
3060	300.462
3061	297.366
3062	297.459
3063	298.208
4000	306.396
4001	307.886
4002	306.333
4003	303.718
4004	307.341
4005	306.708
4006	306.377
4007	306.411
4016	298.377
4017	297.247
4018	299.727
4019	299.193
4020	297.735
4021	295.69
4022	300.671
4023	298.377
